id,lang,time,timestamp,status_display,runtime,url,is_pending,title,memory,code,compare_result
378488337,javascript,"1 hour, 2 minutes",1596997036,Accepted,152 ms,/submissions/detail/378488337/,Not Pending,Number of Sub-arrays With Odd Sum,58.5 MB,"/**
 * @param {number[]} arr
 * @return {number}
 */
var numOfSubarrays = function(A) {
  A=A.map(x=>x%2);
  let sum = 0;
  let rec = [1,0];
  let ans=0;
  for(let x of A) {
    sum = (sum+x) % 2;
    ans = (ans+rec[1-sum]) % 1_000_000_007;
    rec[sum]++;
  }
  return ans;
};",1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
378478285,javascript,"1 hour, 28 minutes",1596995516,Accepted,88 ms,/submissions/detail/378478285/,Not Pending,Count Number of Teams,36.6 MB,"/**
 * @param {number[]} rating
 * @return {number}
 */
var numTeams = function(R) {
  const n=R.length;
  let ans=0;
  for(let i=0;i<n;++i)
    for(let j=i+1;j<n;++j) if(R[i]>R[j]) 
      for(let k=j+1;k<n;++k) if(R[j]>R[k]) ++ans;

  for(let i=0;i<n;++i)
    for(let j=i+1;j<n;++j) if(R[i]<R[j]) 
      for(let k=j+1;k<n;++k) if(R[j]<R[k]) ++ans;

  return ans;
};",11111111111111111111111111111111111111111111111111111
378474658,javascript,"1 hour, 37 minutes",1596994944,Accepted,76 ms,/submissions/detail/378474658/,Not Pending,Reformat Date,36.9 MB,"/**
 * @param {string} date
 * @return {string}
 */
var reformatDate = function(d) {
  d=d.split("" "");
  
  let m={""Jan"":""01"", ""Feb"":""02"", ""Mar"":""03"", 
    ""Apr"":""04"", ""May"":""05"", ""Jun"":""06"", 
      ""Jul"":""07"", ""Aug"":""08"", ""Sep"":""09"", 
        ""Oct"":""10"", ""Nov"":""11"", ""Dec"":""12""}
  d[0]=d[0].replace(""th"","""").replace(""st"","""").replace(""nd"","""").replace(""rd"","""");
  
  if(d[0].length==1) d[0]=""0""+d[0];
  d[1] = m[d[1]];
  
  return d[2]+""-""+d[1]+""-""+d[0];
  
};",11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
378472770,python,"1 hour, 42 minutes",1596994654,Accepted,36 ms,/submissions/detail/378472770/,Not Pending,Pancake Sorting,12.7 MB,"class Solution(object):
    def pancakeSort(self, A):
        """"""
        :type A: List[int]
        :rtype: List[int]
        """"""
        
        n = len(A)
        S = sorted(A[::])
        i = n-1
        ans=[]
        for i in range(n-1,-1,-1):
            for j in range(n):
                if S[i]==A[j]:
                    break
            if i!=j:
                A = A[:j+1][::-1] + A[j+1:]
                ans.append(j+1)
                # print(""after1"", A)
                A = A[:i+1][::-1] + A[i+1:]
                ans.append(i+1)                
                # print(""after2"", A)
                
            i -= 1
            
        return ans
            
            
            ",11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
378466216,javascript,"1 hour, 59 minutes",1596993630,Accepted,72 ms,/submissions/detail/378466216/,Not Pending,Kth Missing Positive Number,37.4 MB,"/**
 * @param {number[]} arr
 * @param {number} k
 * @return {number}
 */
var findKthPositive = function(arr, k) {
  arr.push(3000);
  let p=0;
  for(let x of arr) {
    for(let i=p+1;i<x;++i) {
      if(--k===0) return i;
    }
    p = x;
  }
};",11111111111111111111111111111111111111111111111111111111111111111111111111111111111
378466002,javascript,2 hours,1596993591,Wrong Answer,N/A,/submissions/detail/378466002/,Not Pending,Kth Missing Positive Number,N/A,"/**
 * @param {number[]} arr
 * @param {number} k
 * @return {number}
 */
var findKthPositive = function(arr, k) {
  arr.push(2000);
  let p=0;
  for(let x of arr) {
    for(let i=p+1;i<x;++i) {
      if(--k===0) return i;
    }
    p = x;
  }
};",11111111111111111111111111111111111111111111111111111111111111111111111111111111110
378464911,javascript,"2 hours, 3 minutes",1596993426,Accepted,76 ms,/submissions/detail/378464911/,Not Pending,Binary Gap,37.2 MB,"/**
 * @param {number} N
 * @return {number}
 */
var binaryGap = function(N) {
  let A = N.toString(2).split``.map((x,i)=>x===""1""?i:-1).filter(x=>x>=0);
  
  let ans = 0;
  
  for(let i=1;i<A.length;++i) {
    ans = Math.max(ans, A[i]-A[i-1]);
  }
  
  return ans;
};",11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
378463068,javascript,"2 hours, 8 minutes",1596993132,Accepted,76 ms,/submissions/detail/378463068/,Not Pending,Valid Boomerang,37.3 MB,"/**
 * @param {number[][]} points
 * @return {boolean}
 */
var isBoomerang = function(P) {
  P.sort((a,b)=>a[1]-b[1]).sort((a,b)=>a[0]-b[0]);
  
  if(P[0][0]===P[1][0] && P[0][1]===P[1][1]) return false;
  if(P[1][0]===P[2][0] && P[1][1]===P[2][1]) return false;
  
  if(P[0][0]===P[1][0] && P[0][0]===P[2][0]) return false;
  if(P[0][1]===P[1][1] && P[0][1]===P[2][1]) return false;
  
  return !(P[0][0]-P[1][0] === P[1][0]-P[2][0] &&
    P[0][1]-P[1][1] === P[1][1]-P[2][1]);
};",1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
378462117,javascript,"2 hours, 10 minutes",1596992980,Wrong Answer,N/A,/submissions/detail/378462117/,Not Pending,Valid Boomerang,N/A,"/**
 * @param {number[][]} points
 * @return {boolean}
 */
var isBoomerang = function(P) {
  P.sort((a,b)=>a[1]-b[1]).sort((a,b)=>a[0]-b[0]);
  
  if(P[0][0]===P[1][0] && P[0][1]===P[1][1]) return false;
  if(P[1][0]===P[2][0] && P[1][1]===P[2][1]) return false;
  
  return !(P[0][0]-P[1][0] === P[1][0]-P[2][0] &&
    P[0][1]-P[1][1] === P[1][1]-P[2][1]);
};",1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111
378461386,javascript,"2 hours, 12 minutes",1596992858,Wrong Answer,N/A,/submissions/detail/378461386/,Not Pending,Valid Boomerang,N/A,"/**
 * @param {number[][]} points
 * @return {boolean}
 */
var isBoomerang = function(P) {
  P.sort((a,b)=>a[1]-b[1]).sort((a,b)=>a[0]-b[0]);
  
  return !(P[0][0]-P[1][0] === P[1][0]-P[2][0] &&
    P[0][1]-P[1][1] === P[1][1]-P[2][1]);
};",1111011101101011111011110111111000101111111011011100011110101110110001100111111111111100010111111111111111111110000111110111101101011001111011101000001010101111111111111111101111101111111111
